prompt,label,type,layer_homophily,exact_layer_homophily,avg_layer_distance,type_homophily,n_communities,modularity,inter_community_edge_ratio,largest_community_frac
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.30097087378640774,12,0.8258617467352736,0.10679611650485436,0.14423076923076922
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.32,10,0.7756342666930034,0.12,0.15789473684210525
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.29411764705882354,10,0.7939437983435497,0.10588235294117647,0.1744186046511628
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.3032258064516129,13,0.8459819649848046,0.07741935483870968,0.12179487179487179
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.3008130081300813,13,0.8261872057753218,0.0975609756097561,0.12903225806451613
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.3023255813953488,13,0.8605526920296757,0.06976744186046512,0.11560693641618497
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.31216931216931215,16,0.8675278832519936,0.07936507936507936,0.12105263157894737
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.2903225806451613,10,0.7890675298695426,0.0967741935483871,0.1595744680851064
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.3069306930693069,12,0.8131074918805236,0.10891089108910891,0.13725490196078433
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.28289473684210525,15,0.8538894782077557,0.09210526315789473,0.12418300653594772
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.29457364341085274,11,0.8247714750517134,0.07751937984496124,0.16153846153846155
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.3076923076923077,12,0.7843029210187451,0.12087912087912088,0.15217391304347827
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.2892561983471074,16,0.8215465303951701,0.12396694214876033,0.13934426229508196
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.31343283582089554,14,0.8295064961333646,0.09701492537313433,0.11851851851851852
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.31746031746031744,10,0.7423831650361167,0.14285714285714285,0.171875
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.30808080808080807,16,0.856776702616666,0.07575757575757576,0.12562814070351758
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.29518072289156627,12,0.8484822523987408,0.06626506024096386,0.11377245508982035
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.32,11,0.7839660216149107,0.13333333333333333,0.17105263157894737
[synthetic-clean-tree],1.0,clean_tree,1.0,0.0,1.0,0.3157894736842105,8,0.7481521657745662,0.12280701754385964,0.1724137931034483
