,count,mean,std,min,25%,50%,75%,max
n_nodes,385.0,82.11948051948052,49.34166870468378,38.0,50.0,50.0,112.0,291.0
n_edges,385.0,564.961038961039,2396.1238427577678,55.0,123.0,161.0,367.0,27418.0
density,385.0,0.08365133039150273,0.07524937039780906,0.004464285714285714,0.009708737864077669,0.06560283687943262,0.14979591836734693,0.37919463087248323
mean_in_degree,385.0,5.489263950563785,10.371772587536196,0.9821428571428571,0.9929078014184397,2.883720930232558,7.34,94.21993127147766
std_in_degree,385.0,3.961096887384112,11.168902045550459,1.372244714165646,1.5053451417657244,2.296867431960321,2.8134676113294783,103.7771106639206
max_in_degree,385.0,13.683116883116883,29.74401814247262,4.0,4.0,11.0,13.0,281.0
mean_out_degree,385.0,5.489263950563785,10.371772587536196,0.9821428571428571,0.9929078014184397,2.883720930232558,7.34,94.21993127147766
std_out_degree,385.0,2.1600743702764436,5.1651048560970345,0.06666600233512535,0.0980534460035153,1.7300449576688912,2.4248711305964283,46.62395901931164
max_out_degree,385.0,10.184415584415584,19.23632539823653,1.0,1.0,7.0,13.0,171.0
degree_assortativity,385.0,0.04352595663619553,0.15692220478533525,-0.4755405666009219,-0.010101386528367111,0.0,0.03354104048251313,0.4834926091236992
avg_clustering,385.0,0.16366022596387886,0.16321973425960226,0.0,0.0,0.17411332054189196,0.2765523207442712,0.8394507442903483
transitivity,385.0,0.18462096142480727,0.1661515641274737,0.0,0.0,0.26148225469728603,0.2861518267337563,0.8222034734402406
n_simple_cycles_sampled,385.0,584.4155844155844,493.4637712198267,0.0,0.0,1000.0,1000.0,1000.0
cycle_density,385.0,2.5909798451414288,2.887046469108138,0.0,0.0,2.5974025974025974,2.881844380403458,9.803921568627452
avg_shortest_path,385.0,3.5811862567328387,2.0020660983202725,1.2416107382550337,1.7395918367346939,2.6543340380549685,5.918653576437587,6.49931934657271
diameter,385.0,5.509090909090909,2.3106513905141224,2.0,3.0,6.0,8.0,8.0
n_weakly_connected_components,385.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
largest_wcc_fraction,385.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
modularity,385.0,0.47586833219251484,0.2927329210978197,0.07083151210992589,0.16807254437135605,0.4732375765638847,0.7966704136413022,0.8740396795020566
n_communities,385.0,6.745454545454545,3.386190762315065,2.0,4.0,5.0,10.0,14.0
spectral_gap,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebraic_connectivity,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spectral_radius,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_layers,385.0,6.52987012987013,3.5125913739251193,5.0,5.0,6.0,6.0,27.0
cross_layer_edge_ratio,385.0,0.3431779127242068,0.28351551182415397,0.0,0.0,0.5081967213114754,0.5633423180592992,0.9443458980044346
backward_edge_ratio,385.0,0.6695365801707286,0.2829180495143544,0.0,0.4266666666666667,0.5882352941176471,1.0,1.0
layer_entropy,385.0,1.5023598303281727,0.5106347278243577,0.8634895768121309,0.9360993351113458,1.734340794383796,1.7829396499840364,3.2025197929621365
dag_depth,385.0,7.964970048242215,26.17676335179528,2.7479732670961603,3.259660175213088,3.6333777268110827,4.0,253.1435546875
tree_likeness,385.0,0.5086781865281073,0.4014913542935778,0.010576993216135385,0.1335149863760218,0.3387096774193548,1.0,1.0
mean_activation,385.0,0.4070574064096094,0.30816504361432895,0.12861051905031406,0.14740276387284407,0.45353907687500084,0.5427806434833967,2.4797623697916666
std_activation,385.0,0.2531517769673543,0.42976642722400965,0.08976126670041167,0.11737190794313632,0.18647843992992683,0.25453230285961376,3.4543983422594575
mean_edge_weight,385.0,0.4100884865956316,0.1932393021807085,0.15486654995483817,0.2531205151570992,0.2632500784818068,0.6435324980568919,0.7105911529047364
std_edge_weight,385.0,0.23423005241851483,0.3056455570188483,0.13368522469492447,0.142727719367888,0.20179899782800173,0.21790018792293608,2.4902234225690982
weight_entropy,385.0,5.167697580756772,0.7832820770232289,3.9529619171028516,4.538262683704524,5.029665303510592,5.7338931980616845,9.26482881779369
interpretability_label,375.0,0.5,0.44781107551989907,0.0,0.0,0.5,1.0,1.0
